Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index		Ins_RGB	Ins_CMYK
120	120	308	308	Dark Brown	Dark Brown	Dark_Brown	Dark Brown	#442800	1	Solid Colors	4	o		0,41,100,73
163	163	339	311	Glitter Trans-Neon Green	Glitter Trans-Neon Green	Glitter_Trans_Neon_Green	Transparent Bright Green	#C0FF00	0.5019608	Glitter Colors	10	to_lego		25,0,100,0
72	72	313	11	Maersk Blue	Maersk Blue	Maersk_Blue	Pastel Blue	#53A8C7	1	Solid Colors	14	o		58,16,0,22
72		313	269	Maersk Blue	Maersk Blue	Maersk_Blue	Tiny-Medium Blue	#53A8C7	1	Solid Colors	14	from_lego		58,16,0,22
59	59	320	154	Dark Red	Dark Red	Dark_Red	Dark red	#710D0E	1	Solid Colors	0	o		0,88,88,56
153	153	321	321	Dark Azure	Dark Azure	Dark_Azure	Dark Azur	#1397D6	1	Solid Colors	14	o		91,29,0,16
153		321	188	Dark Azure		Dark_Azure	Tiny-Blue	#1397D6	1	Solid Colors	14	from_lego		91,29,0,16
156	156	322	322	Medium Azure	Medium Azure	Medium_Azure	Medium Azure	#3DC1DC	1	Solid Colors	14	o		72,12,0,14
152	152	323	323	Light Aqua	Light Aqua	Light_Aqua	Aqua	#BCDBD7	1	Solid Colors	13	o		14,0,2,14
1003	5	324	21	Rubber Red	Red	Rubber_Red		#C30025	1	Rubber Colors	1	to_lego,to_bl		0,100,81,24
158		326	234	Yellowish Green	Yellowish Green	Yellowish_Green	Transparent Fire Yellow	#DEEDA4	1	Solid Colors	10	from_lego		6,0,31,7
158	158	326	326	Yellowish Green	Yellowish Green	Yellowish_Green	Spring Yellow Green	#DEEDA4	1	Solid Colors	10	o		
159	159	329	329	Glow In Dark White	Glow In Dark White	Glow_In_Dark_White	WHITE GLOW	#ECECEC	1	Milky Colors	-1	o		0,0,0,7
155	155	330	330	Olive Green	Olive Green	Olive_Green	Olive Green	#9A9959	1	Solid Colors	9	o		0,1,42,40
21	21	334	310	Chrome Gold	Chrome Gold	Chrome_Gold	Metalized Gold	#BAA43C	1	Chrome Colors	9	o		0,12,68,27
58	58	335	153	Sand Red	Sand Red	Sand_Red	Sand red	#D57471	1	Solid Colors	2	o		0,46,47,16
